graph,nvertices,algorithm,t,treal,nedges,weight,maxDegree,diameter,nintersections,runningTime
Data challenge 2,2689,Greedy Theta,1.1,1.124954649,3038,4491.812646,10,0,0,47.45607168
Data challenge 2,2689,Greedy Theta,1.2,1.21906635,2970,3332.611401,7,0,0,38.59809666
Data challenge 2,2689,Greedy Theta,1.3,1.341640786,2947,3185.029687,6,0,0,32.00262302
Data challenge 2,2689,Greedy Theta,1.5,1.5,2697,2757.528024,3,0,0,33.25002533
Data challenge 2,2689,Greedy Theta,2,2,2694,2728.175248,3,0,0,70.27138226
Data challenge 2,2689,Greedy Theta,3,2.857142857,2689,2695.404918,3,0,0,66.30406764
Data challenge 2,2689,Greedy Theta,5,4.762748537,2688,2691.404918,2,0,0,32.33686081
Data challenge 2,2689,Theta,1.1,1.068286478,8286,479336.8302,118,0,0,31.64056821
Data challenge 2,2689,Theta,1.2,1.119883086,6271,177330.6203,118,0,0,26.27638799
Data challenge 2,2689,Theta,1.3,1.145561243,5470,118216.5379,118,0,0,25.76906357
Data challenge 2,2689,Theta,1.5,1.150792911,4959,91469.55031,118,0,0,25.97273814
Data challenge 2,2689,Theta,2,1.341640786,6795,1497524.777,214,0,0,26.04621419
Data challenge 2,2689,Theta,3,1.414213562,6614,1495238.293,214,0,0,26.04714418
Data challenge 2,2689,Theta,5,1.414213562,4321,70650.28615,118,0,0,26.03539755
Data challenge 2,2689,Yao,1.1,1.068286478,8282,479280.5383,118,0,0,28.52686677
Data challenge 2,2689,Yao,1.2,1.119883086,6265,177252.9358,118,0,0,28.51967687
Data challenge 2,2689,Yao,1.3,1.150792911,5463,118154.1433,118,0,0,28.40648642
Data challenge 2,2689,Yao,1.5,1.212678125,4947,91405.99513,118,0,0,27.98598856
Data challenge 2,2689,Yao,2,1.341640786,6796,1497532.769,214,0,0,28.20120757
Data challenge 2,2689,Yao,3,1.414213562,6623,1495309.339,214,0,0,28.56997775
Data challenge 2,2689,Yao,5,1.414213562,4313,70598.2676,118,0,0,27.52604214
